Vaccine type,Town,Vaccine coverage
פלצת–אסכרה-שעלת-Tdap,שדה עוזיהו,98%
פלצת–אסכרה-שעלת-Tdap,רבדים,73%
פלצת–אסכרה-שעלת-Tdap,כפר מצר,99%
פלצת–אסכרה-שעלת-Tdap,כמון,71%
פלצת–אסכרה-שעלת-Tdap,כדיתה,50%
פלצת–אסכרה-שעלת-Tdap,חולתה,83%
פלצת–אסכרה-שעלת-Tdap,שדמות מחולה,90%
פלצת–אסכרה-שעלת-Tdap,ציפורי,100%
פלצת–אסכרה-שעלת-Tdap,משכיות,70%
פלצת–אסכרה-שעלת-Tdap,מיצר,73%
פלצת–אסכרה-שעלת-Tdap,מגדלים,89%
פלצת–אסכרה-שעלת-Tdap,ישעי,76%
פלצת–אסכרה-שעלת-Tdap,טנא,91%
פלצת–אסכרה-שעלת-Tdap,חיבת ציון,93%
פלצת–אסכרה-שעלת-Tdap,חגי,96%
פלצת–אסכרה-שעלת-Tdap,ברכיה,98%
פלצת–אסכרה-שעלת-Tdap,בוסתן הגליל,95%
פלצת–אסכרה-שעלת-Tdap,נופית,92%
פלצת–אסכרה-שעלת-Tdap,כפר מנחם,90%
פלצת–אסכרה-שעלת-Tdap,"ייט""ב",71%
פלצת–אסכרה-שעלת-Tdap,גבע כרמל,96%
פלצת–אסכרה-שעלת-Tdap,רמות מנשה,96%
פלצת–אסכרה-שעלת-Tdap,חד-נס,68%
פלצת–אסכרה-שעלת-Tdap,דלתון,93%
פלצת–אסכרה-שעלת-Tdap,אלון הגליל,84%
פלצת–אסכרה-שעלת-Tdap,שילת,90%
פלצת–אסכרה-שעלת-Tdap,עין יהב,90%
פלצת–אסכרה-שעלת-Tdap,עופר,77%
פלצת–אסכרה-שעלת-Tdap,עדי,97%
פלצת–אסכרה-שעלת-Tdap,נהלל,91%
פלצת–אסכרה-שעלת-Tdap,נאות גולן,86%
פלצת–אסכרה-שעלת-Tdap,כפר הנשיא,96%
פלצת–אסכרה-שעלת-Tdap,גילת,93%
פלצת–אסכרה-שעלת-Tdap,בית אורן,80%
פלצת–אסכרה-שעלת-Tdap,איילת השחר,90%
פלצת–אסכרה-שעלת-Tdap,שקד,97%
פלצת–אסכרה-שעלת-Tdap,פסוטה,100%
פלצת–אסכרה-שעלת-Tdap,פוריה עילית,94%
פלצת–אסכרה-שעלת-Tdap,מסעדה,99%
פלצת–אסכרה-שעלת-Tdap,מנשית זבדה,97%
פלצת–אסכרה-שעלת-Tdap,"יד רמב""ם",93%
פלצת–אסכרה-שעלת-Tdap,דריג'את,97%
פלצת–אסכרה-שעלת-Tdap,בית מאיר,70%
פלצת–אסכרה-שעלת-Tdap,אשתאול,91%
פלצת–אסכרה-שעלת-Tdap,אניעם,75%
פלצת–אסכרה-שעלת-Tdap,שדי חמד,92%
פלצת–אסכרה-שעלת-Tdap,עין ורד,93%
פלצת–אסכרה-שעלת-Tdap,עין דור,84%
פלצת–אסכרה-שעלת-Tdap,ניר משה,100%
פלצת–אסכרה-שעלת-Tdap,כפר בלום,82%
פלצת–אסכרה-שעלת-Tdap,ינון,100%
פלצת–אסכרה-שעלת-Tdap,חגלה,85%
פלצת–אסכרה-שעלת-Tdap,הבונים,70%
פלצת–אסכרה-שעלת-Tdap,גן יאשיה,85%
פלצת–אסכרה-שעלת-Tdap,בת שלמה,69%
פלצת–אסכרה-שעלת-Tdap,בית זרע,88%
פלצת–אסכרה-שעלת-Tdap,אשחר,100%
פלצת–אסכרה-שעלת-Tdap,תראבין א-צאנע,85%
פלצת–אסכרה-שעלת-Tdap,שומריה,98%
פלצת–אסכרה-שעלת-Tdap,עזריקם,97%
פלצת–אסכרה-שעלת-Tdap,סעד,100%
פלצת–אסכרה-שעלת-Tdap,נס הרים,100%
פלצת–אסכרה-שעלת-Tdap,נירית,93%
פלצת–אסכרה-שעלת-Tdap,נגוהות,93%
פלצת–אסכרה-שעלת-Tdap,מתת,29%
פלצת–אסכרה-שעלת-Tdap,מגדל עוז,86%
פלצת–אסכרה-שעלת-Tdap,יתד,81%
פלצת–אסכרה-שעלת-Tdap,יקנעם (מושבה),88%
פלצת–אסכרה-שעלת-Tdap,יכיני,86%
פלצת–אסכרה-שעלת-Tdap,חנתון,88%
פלצת–אסכרה-שעלת-Tdap,געש,97%
פלצת–אסכרה-שעלת-Tdap,בית חשמונאי,100%
פלצת–אסכרה-שעלת-Tdap,שלומית,89%
פלצת–אסכרה-שעלת-Tdap,רשפים,94%
פלצת–אסכרה-שעלת-Tdap,קטנה,33%
פלצת–אסכרה-שעלת-Tdap,עין הבשור,100%
פלצת–אסכרה-שעלת-Tdap,מפלסים,93%
פלצת–אסכרה-שעלת-Tdap,מגן שאול,100%
פלצת–אסכרה-שעלת-Tdap,להבות הבשן,88%
פלצת–אסכרה-שעלת-Tdap,כפר מונש,95%
פלצת–אסכרה-שעלת-Tdap,כפר יחזקאל,93%
פלצת–אסכרה-שעלת-Tdap,כפר זיתים,85%
פלצת–אסכרה-שעלת-Tdap,גן השומרון,89%
פלצת–אסכרה-שעלת-Tdap,ג'יב,0%
פלצת–אסכרה-שעלת-Tdap,בני ציון,100%
פלצת–אסכרה-שעלת-Tdap,בית הלוי,73%
פלצת–אסכרה-שעלת-Tdap,באר אורה,87%
פלצת–אסכרה-שעלת-Tdap,אלי-עד,75%
פלצת–אסכרה-שעלת-Tdap,שמיר,100%
פלצת–אסכרה-שעלת-Tdap,רוחמה,86%
פלצת–אסכרה-שעלת-Tdap,צפריה,97%
פלצת–אסכרה-שעלת-Tdap,צביה,80%
פלצת–אסכרה-שעלת-Tdap,עמינדב,91%
פלצת–אסכרה-שעלת-Tdap,עברון,93%
פלצת–אסכרה-שעלת-Tdap,מעש,96%
פלצת–אסכרה-שעלת-Tdap,מבואות יריחו,64%
פלצת–אסכרה-שעלת-Tdap,לפיד,94%
פלצת–אסכרה-שעלת-Tdap,לוזית,83%
פלצת–אסכרה-שעלת-Tdap,כרם בן זמרה,79%
פלצת–אסכרה-שעלת-Tdap,כפר עציון,94%
פלצת–אסכרה-שעלת-Tdap,זמרת,91%
פלצת–אסכרה-שעלת-Tdap,גיתה,100%
פלצת–אסכרה-שעלת-Tdap,בצרה,83%
פלצת–אסכרה-שעלת-Tdap,בן עמי,95%
פלצת–אסכרה-שעלת-Tdap,רמת מגשימים,92%
פלצת–אסכרה-שעלת-Tdap,נצר חזני,82%
פלצת–אסכרה-שעלת-Tdap,ניר עקיבא,70%
פלצת–אסכרה-שעלת-Tdap,משמר הנגב,96%
פלצת–אסכרה-שעלת-Tdap,מרחביה (קיבוץ),88%
פלצת–אסכרה-שעלת-Tdap,מעלה גלבוע,89%
פלצת–אסכרה-שעלת-Tdap,מולדת,100%
פלצת–אסכרה-שעלת-Tdap,מבוא ביתר,84%
פלצת–אסכרה-שעלת-Tdap,לוטם,100%
פלצת–אסכרה-שעלת-Tdap,כפר רופין,100%
פלצת–אסכרה-שעלת-Tdap,כפר סירקין,90%
פלצת–אסכרה-שעלת-Tdap,כפר הס,100%
פלצת–אסכרה-שעלת-Tdap,יפתח,92%
פלצת–אסכרה-שעלת-Tdap,חלחול,63%
פלצת–אסכרה-שעלת-Tdap,גמזו,89%
פלצת–אסכרה-שעלת-Tdap,בצת,85%
פלצת–אסכרה-שעלת-Tdap,אלישמע,94%
פלצת–אסכרה-שעלת-Tdap,אור הנר,97%
פלצת–אסכרה-שעלת-Tdap,תלמי אלעזר,86%
פלצת–אסכרה-שעלת-Tdap,שתולה,86%
פלצת–אסכרה-שעלת-Tdap,רמת יוחנן,97%
פלצת–אסכרה-שעלת-Tdap,קלע,73%
פלצת–אסכרה-שעלת-Tdap,עמיקם,85%
פלצת–אסכרה-שעלת-Tdap,נען,89%
פלצת–אסכרה-שעלת-Tdap,ניר עציון,91%
פלצת–אסכרה-שעלת-Tdap,מעלה גמלא,92%
פלצת–אסכרה-שעלת-Tdap,כפר הנגיד,95%
פלצת–אסכרה-שעלת-Tdap,ירחיב,86%
פלצת–אסכרה-שעלת-Tdap,חרוצים,78%
פלצת–אסכרה-שעלת-Tdap,חמד,87%
פלצת–אסכרה-שעלת-Tdap,הילה,50%
פלצת–אסכרה-שעלת-Tdap,החותרים,100%
פלצת–אסכרה-שעלת-Tdap,דפנה,90%
פלצת–אסכרה-שעלת-Tdap,גינתון,89%
פלצת–אסכרה-שעלת-Tdap,גבעת יערים,95%
פלצת–אסכרה-שעלת-Tdap,בר גיורא,93%
פלצת–אסכרה-שעלת-Tdap,בית רימון,98%
פלצת–אסכרה-שעלת-Tdap,בארותיים,76%
פלצת–אסכרה-שעלת-Tdap,רמת הכובש,90%
פלצת–אסכרה-שעלת-Tdap,רביבים,88%
פלצת–אסכרה-שעלת-Tdap,קדמת צבי,86%
פלצת–אסכרה-שעלת-Tdap,עין שריד,100%
פלצת–אסכרה-שעלת-Tdap,נווה מיכאל,82%
פלצת–אסכרה-שעלת-Tdap,נאות מרדכי,100%
פלצת–אסכרה-שעלת-Tdap,מצדות יהודה,96%
פלצת–אסכרה-שעלת-Tdap,מענית,94%
פלצת–אסכרה-שעלת-Tdap,מח'ים קלנדיה,0%
פלצת–אסכרה-שעלת-Tdap,לכיש,100%
פלצת–אסכרה-שעלת-Tdap,כברי,94%
פלצת–אסכרה-שעלת-Tdap,יסודות,100%
פלצת–אסכרה-שעלת-Tdap,דליה,91%
פלצת–אסכרה-שעלת-Tdap,בית נחמיה,96%
פלצת–אסכרה-שעלת-Tdap,בית ינאי,78%
פלצת–אסכרה-שעלת-Tdap,בית אלעזרי,100%
פלצת–אסכרה-שעלת-Tdap,בורגתה,93%
פלצת–אסכרה-שעלת-Tdap,בארי,100%
פלצת–אסכרה-שעלת-Tdap,רמת השופט,100%
פלצת–אסכרה-שעלת-Tdap,רינתיה,100%
פלצת–אסכרה-שעלת-Tdap,צוריף,67%
פלצת–אסכרה-שעלת-Tdap,עמיר,100%
פלצת–אסכרה-שעלת-Tdap,עין זיוון,78%
פלצת–אסכרה-שעלת-Tdap,עין השופט,100%
פלצת–אסכרה-שעלת-Tdap,נתיב העשרה,88%
פלצת–אסכרה-שעלת-Tdap,נגבה,86%
פלצת–אסכרה-שעלת-Tdap,נבטים,94%
פלצת–אסכרה-שעלת-Tdap,נאעורה,100%
פלצת–אסכרה-שעלת-Tdap,מצובה,73%
פלצת–אסכרה-שעלת-Tdap,מעונה,91%
פלצת–אסכרה-שעלת-Tdap,מירב,94%
פלצת–אסכרה-שעלת-Tdap,מבוא מודיעים,92%
פלצת–אסכרה-שעלת-Tdap,יובלים,96%
פלצת–אסכרה-שעלת-Tdap,חניתה,79%
פלצת–אסכרה-שעלת-Tdap,בית חורון,91%
פלצת–אסכרה-שעלת-Tdap,בית הגדי,82%
פלצת–אסכרה-שעלת-Tdap,אלישיב,78%
פלצת–אסכרה-שעלת-Tdap,אילון,86%
פלצת–אסכרה-שעלת-Tdap,תנובות,96%
פלצת–אסכרה-שעלת-Tdap,"תלמי ביל""ו",95%
פלצת–אסכרה-שעלת-Tdap,שדה אילן,87%
פלצת–אסכרה-שעלת-Tdap,שבי דרום,95%
פלצת–אסכרה-שעלת-Tdap,רימונים,91%
פלצת–אסכרה-שעלת-Tdap,צפרירים,75%
פלצת–אסכרה-שעלת-Tdap,צלפון,93%
פלצת–אסכרה-שעלת-Tdap,פלמחים,96%
פלצת–אסכרה-שעלת-Tdap,עראמשה,100%
פלצת–אסכרה-שעלת-Tdap,עמקה,85%
פלצת–אסכרה-שעלת-Tdap,עין החורש,100%
פלצת–אסכרה-שעלת-Tdap,כמאנה,100%
פלצת–אסכרה-שעלת-Tdap,הר גילה,92%
פלצת–אסכרה-שעלת-Tdap,בית שקמה,100%
פלצת–אסכרה-שעלת-Tdap,תימורים,96%
פלצת–אסכרה-שעלת-Tdap,עלמון,100%
פלצת–אסכרה-שעלת-Tdap,סמר,50%
פלצת–אסכרה-שעלת-Tdap,ניצני עוז,93%
פלצת–אסכרה-שעלת-Tdap,משאבי שדה,100%
פלצת–אסכרה-שעלת-Tdap,מסילת ציון,86%
פלצת–אסכרה-שעלת-Tdap,מזור,88%
פלצת–אסכרה-שעלת-Tdap,כפר ראש הנקרה,91%
פלצת–אסכרה-שעלת-Tdap,כפר חנניה,96%
פלצת–אסכרה-שעלת-Tdap,יד מרדכי,96%
פלצת–אסכרה-שעלת-Tdap,יד השמונה,80%
פלצת–אסכרה-שעלת-Tdap,גשר הזיו,100%
פלצת–אסכרה-שעלת-Tdap,בקוע,96%
פלצת–אסכרה-שעלת-Tdap,איתן,95%
פלצת–אסכרה-שעלת-Tdap,אחיטוב,90%
פלצת–אסכרה-שעלת-Tdap,אומץ,93%
פלצת–אסכרה-שעלת-Tdap,אדורה,96%
פלצת–אסכרה-שעלת-Tdap,שריד,100%
פלצת–אסכרה-שעלת-Tdap,עטרת,83%
פלצת–אסכרה-שעלת-Tdap,ניצן ב',88%
פלצת–אסכרה-שעלת-Tdap,נחשולים,91%
פלצת–אסכרה-שעלת-Tdap,משמר השבעה,88%
פלצת–אסכרה-שעלת-Tdap,מרחביה (מושב),85%
פלצת–אסכרה-שעלת-Tdap,מדרך עוז,88%
פלצת–אסכרה-שעלת-Tdap,כרמי קטיף,94%
פלצת–אסכרה-שעלת-Tdap,כרכום,79%
פלצת–אסכרה-שעלת-Tdap,כפר קיש,94%
פלצת–אסכרה-שעלת-Tdap,כפר גלעדי,40%
פלצת–אסכרה-שעלת-Tdap,טל-אל,93%
פלצת–אסכרה-שעלת-Tdap,חוסן,97%
פלצת–אסכרה-שעלת-Tdap,גיניגר,86%
פלצת–אסכרה-שעלת-Tdap,"גבעת כ""ח",93%
פלצת–אסכרה-שעלת-Tdap,גאליה,96%
פלצת–אסכרה-שעלת-Tdap,בני נעים,83%
פלצת–אסכרה-שעלת-Tdap,בית עזרא,95%
פלצת–אסכרה-שעלת-Tdap,אליאב,97%
פלצת–אסכרה-שעלת-Tdap,תרום,83%
פלצת–אסכרה-שעלת-Tdap,שוקדה,94%
פלצת–אסכרה-שעלת-Tdap,שובל,100%
פלצת–אסכרה-שעלת-Tdap,רומאנה,98%
פלצת–אסכרה-שעלת-Tdap,קראות בני חסן,100%
פלצת–אסכרה-שעלת-Tdap,קוואעין (שבט),98%
פלצת–אסכרה-שעלת-Tdap,עין עירון,88%
פלצת–אסכרה-שעלת-Tdap,נהורה,100%
פלצת–אסכרה-שעלת-Tdap,משמרת,93%
פלצת–אסכרה-שעלת-Tdap,משמר הירדן,84%
פלצת–אסכרה-שעלת-Tdap,מצליח,100%
פלצת–אסכרה-שעלת-Tdap,מסלול,91%
פלצת–אסכרה-שעלת-Tdap,מזרע,100%
פלצת–אסכרה-שעלת-Tdap,לימן,95%
פלצת–אסכרה-שעלת-Tdap,כפר נטר,100%
פלצת–אסכרה-שעלת-Tdap,כפר יהושע,100%
פלצת–אסכרה-שעלת-Tdap,יד חנה,94%
פלצת–אסכרה-שעלת-Tdap,חצרים,92%
פלצת–אסכרה-שעלת-Tdap,חגור,93%
פלצת–אסכרה-שעלת-Tdap,הוואשלה (שבט),99%
פלצת–אסכרה-שעלת-Tdap,דן,94%
פלצת–אסכרה-שעלת-Tdap,אמונים,96%
פלצת–אסכרה-שעלת-Tdap,שדה יעקב,100%
פלצת–אסכרה-שעלת-Tdap,צופית,90%
פלצת–אסכרה-שעלת-Tdap,"פעמי תש""ז",89%
פלצת–אסכרה-שעלת-Tdap,עלמה,95%
פלצת–אסכרה-שעלת-Tdap,סנסנה,96%
פלצת–אסכרה-שעלת-Tdap,נצר סרני,100%
פלצת–אסכרה-שעלת-Tdap,מגדים,87%
פלצת–אסכרה-שעלת-Tdap,כפר מסריק,96%
פלצת–אסכרה-שעלת-Tdap,כפר החורש,100%
פלצת–אסכרה-שעלת-Tdap,כפר האורנים,95%
פלצת–אסכרה-שעלת-Tdap,יזרעאל,94%
פלצת–אסכרה-שעלת-Tdap,חרב לאת,92%
פלצת–אסכרה-שעלת-Tdap,הודייה,96%
פלצת–אסכרה-שעלת-Tdap,גינוסר,88%
פלצת–אסכרה-שעלת-Tdap,גבעתי,94%
פלצת–אסכרה-שעלת-Tdap,בית העמק,94%
פלצת–אסכרה-שעלת-Tdap,אודם,73%
פלצת–אסכרה-שעלת-Tdap,תלמים,100%
פלצת–אסכרה-שעלת-Tdap,רתמים,89%
פלצת–אסכרה-שעלת-Tdap,צרעה,96%
פלצת–אסכרה-שעלת-Tdap,צוחר,90%
פלצת–אסכרה-שעלת-Tdap,פוריה - כפר עבודה,95%
פלצת–אסכרה-שעלת-Tdap,עצמון שגב,100%
פלצת–אסכרה-שעלת-Tdap,עין קנייא,98%
פלצת–אסכרה-שעלת-Tdap,עין צורים,94%
פלצת–אסכרה-שעלת-Tdap,סתריה,96%
פלצת–אסכרה-שעלת-Tdap,ניר צבי,96%
פלצת–אסכרה-שעלת-Tdap,נטף,96%
פלצת–אסכרה-שעלת-Tdap,משמרות,100%
פלצת–אסכרה-שעלת-Tdap,מעברות,91%
פלצת–אסכרה-שעלת-Tdap,כפר יעבץ,84%
פלצת–אסכרה-שעלת-Tdap,כפר בן נון,95%
פלצת–אסכרה-שעלת-Tdap,"כפר ביל""ו",100%
פלצת–אסכרה-שעלת-Tdap,כחל,93%
פלצת–אסכרה-שעלת-Tdap,יציץ,90%
פלצת–אסכרה-שעלת-Tdap,יד נתן,100%
פלצת–אסכרה-שעלת-Tdap,הסוללים,100%
פלצת–אסכרה-שעלת-Tdap,היוגב,91%
פלצת–אסכרה-שעלת-Tdap,גני יוחנן,86%
פלצת–אסכרה-שעלת-Tdap,גנות הדר,90%
פלצת–אסכרה-שעלת-Tdap,גבת,95%
פלצת–אסכרה-שעלת-Tdap,בית לחם הגלילית,95%
פלצת–אסכרה-שעלת-Tdap,בית אמר,100%
פלצת–אסכרה-שעלת-Tdap,ביצרון,91%
פלצת–אסכרה-שעלת-Tdap,באר טוביה,100%
פלצת–אסכרה-שעלת-Tdap,אחיסמך,94%
פלצת–אסכרה-שעלת-Tdap,אורות,93%
פלצת–אסכרה-שעלת-Tdap,תלם,86%
פלצת–אסכרה-שעלת-Tdap,שעל,100%
פלצת–אסכרה-שעלת-Tdap,שכניה,75%
פלצת–אסכרה-שעלת-Tdap,שורש,100%
פלצת–אסכרה-שעלת-Tdap,ריחאניה,90%
פלצת–אסכרה-שעלת-Tdap,קוממיות,90%
פלצת–אסכרה-שעלת-Tdap,עשרת,100%
פלצת–אסכרה-שעלת-Tdap,עין כרמל,100%
פלצת–אסכרה-שעלת-Tdap,עזריה,100%
פלצת–אסכרה-שעלת-Tdap,משמר איילון,100%
פלצת–אסכרה-שעלת-Tdap,מעין ברוך,83%
פלצת–אסכרה-שעלת-Tdap,מגל,100%
פלצת–אסכרה-שעלת-Tdap,מבקיעים,97%
פלצת–אסכרה-שעלת-Tdap,מבוא חמה,83%
פלצת–אסכרה-שעלת-Tdap,לבנים,82%
פלצת–אסכרה-שעלת-Tdap,כפר שמואל,95%
פלצת–אסכרה-שעלת-Tdap,כפר עזה,94%
פלצת–אסכרה-שעלת-Tdap,כפר חיים,100%
פלצת–אסכרה-שעלת-Tdap,כפר גדעון,92%
פלצת–אסכרה-שעלת-Tdap,חפץ חיים,100%
פלצת–אסכרה-שעלת-Tdap,חדיד,97%
פלצת–אסכרה-שעלת-Tdap,זיתן,91%
פלצת–אסכרה-שעלת-Tdap,הדר עם,88%
פלצת–אסכרה-שעלת-Tdap,גברעם,79%
פלצת–אסכרה-שעלת-Tdap,בני עטרות,100%
פלצת–אסכרה-שעלת-Tdap,בית גמליאל,92%
פלצת–אסכרה-שעלת-Tdap,בטחה,91%
פלצת–אסכרה-שעלת-Tdap,אלונים,100%
פלצת–אסכרה-שעלת-Tdap,אלוני הבשן,74%
פלצת–אסכרה-שעלת-Tdap,אבטליון,86%
פלצת–אסכרה-שעלת-Tdap,תושיה,91%
פלצת–אסכרה-שעלת-Tdap,שדמה,100%
פלצת–אסכרה-שעלת-Tdap,שדה יצחק,90%
פלצת–אסכרה-שעלת-Tdap,פקיעין חדשה,86%
פלצת–אסכרה-שעלת-Tdap,עבדון,94%
פלצת–אסכרה-שעלת-Tdap,ניר גלים,94%
פלצת–אסכרה-שעלת-Tdap,נווה אילן,95%
פלצת–אסכרה-שעלת-Tdap,להב,94%
פלצת–אסכרה-שעלת-Tdap,כרמל,98%
פלצת–אסכרה-שעלת-Tdap,יעד,100%
פלצת–אסכרה-שעלת-Tdap,חפצי-בה,100%
פלצת–אסכרה-שעלת-Tdap,חוסנייה,98%
פלצת–אסכרה-שעלת-Tdap,זבדיאל,94%
פלצת–אסכרה-שעלת-Tdap,הר עמשא,77%
פלצת–אסכרה-שעלת-Tdap,גני הדר,88%
פלצת–אסכרה-שעלת-Tdap,גזית,86%
פלצת–אסכרה-שעלת-Tdap,בן זכאי,89%
פלצת–אסכרה-שעלת-Tdap,בית עריף,86%
פלצת–אסכרה-שעלת-Tdap,אבן ספיר,92%
פלצת–אסכרה-שעלת-Tdap,תל עדשים,96%
פלצת–אסכרה-שעלת-Tdap,שמשית,91%
פלצת–אסכרה-שעלת-Tdap,רמת צבי,96%
פלצת–אסכרה-שעלת-Tdap,עמיחי,75%
פלצת–אסכרה-שעלת-Tdap,ניר עם,95%
פלצת–אסכרה-שעלת-Tdap,נווה זיו,92%
פלצת–אסכרה-שעלת-Tdap,משען,100%
פלצת–אסכרה-שעלת-Tdap,משואה,96%
פלצת–אסכרה-שעלת-Tdap,"מצפה אבי""ב",100%
פלצת–אסכרה-שעלת-Tdap,מעין צבי,93%
פלצת–אסכרה-שעלת-Tdap,כפר מרדכי,94%
פלצת–אסכרה-שעלת-Tdap,כסלון,88%
פלצת–אסכרה-שעלת-Tdap,כוכב מיכאל,100%
פלצת–אסכרה-שעלת-Tdap,יפעת,100%
פלצת–אסכרה-שעלת-Tdap,חולדה,89%
פלצת–אסכרה-שעלת-Tdap,זרחיה,95%
פלצת–אסכרה-שעלת-Tdap,זרועה,83%
פלצת–אסכרה-שעלת-Tdap,גבעת ישעיהו,91%
פלצת–אסכרה-שעלת-Tdap,בת חן,89%
פלצת–אסכרה-שעלת-Tdap,בית אולה,33%
פלצת–אסכרה-שעלת-Tdap,אשלים,94%
פלצת–אסכרה-שעלת-Tdap,ארסוף,40%
פלצת–אסכרה-שעלת-Tdap,שריגים (לי-און),91%
פלצת–אסכרה-שעלת-Tdap,שפיר,89%
פלצת–אסכרה-שעלת-Tdap,שני,86%
פלצת–אסכרה-שעלת-Tdap,שואבה,100%
פלצת–אסכרה-שעלת-Tdap,רמות,92%
פלצת–אסכרה-שעלת-Tdap,עין חרוד (מאוחד),87%
פלצת–אסכרה-שעלת-Tdap,עין גב,81%
פלצת–אסכרה-שעלת-Tdap,נחלה,94%
פלצת–אסכרה-שעלת-Tdap,נאות סמדר,70%
פלצת–אסכרה-שעלת-Tdap,מחנה תל נוף,100%
פלצת–אסכרה-שעלת-Tdap,כפר חיטים,93%
פלצת–אסכרה-שעלת-Tdap,יטבתה,100%
פלצת–אסכרה-שעלת-Tdap,חמאם,98%
פלצת–אסכרה-שעלת-Tdap,זכריה,97%
פלצת–אסכרה-שעלת-Tdap,גילון,91%
פלצת–אסכרה-שעלת-Tdap,גונן,100%
פלצת–אסכרה-שעלת-Tdap,גבעת יואב,94%
פלצת–אסכרה-שעלת-Tdap,גבעת חיים (מאוחד),85%
פלצת–אסכרה-שעלת-Tdap,בניה,86%
פלצת–אסכרה-שעלת-Tdap,בית חנניה,100%
פלצת–אסכרה-שעלת-Tdap,בארות יצחק,94%
פלצת–אסכרה-שעלת-Tdap,אשכולות,63%
פלצת–אסכרה-שעלת-Tdap,אלמגור,75%
פלצת–אסכרה-שעלת-Tdap,אומן,94%
פלצת–אסכרה-שעלת-Tdap,אדרת,96%
פלצת–אסכרה-שעלת-Tdap,אבנת,86%
פלצת–אסכרה-שעלת-Tdap,תקומה,93%
פלצת–אסכרה-שעלת-Tdap,תובל,100%
פלצת–אסכרה-שעלת-Tdap,שער העמקים,100%
פלצת–אסכרה-שעלת-Tdap,שלוחות,96%
פלצת–אסכרה-שעלת-Tdap,רקפת,82%
פלצת–אסכרה-שעלת-Tdap,רוויה,100%
פלצת–אסכרה-שעלת-Tdap,קרית נטפים,100%
פלצת–אסכרה-שעלת-Tdap,"עין הנצי""ב",84%
פלצת–אסכרה-שעלת-Tdap,עזריאל,96%
פלצת–אסכרה-שעלת-Tdap,משמר דוד,90%
פלצת–אסכרה-שעלת-Tdap,כפר מימון,98%
פלצת–אסכרה-שעלת-Tdap,ינוב,81%
פלצת–אסכרה-שעלת-Tdap,יחיעם,100%
פלצת–אסכרה-שעלת-Tdap,חבצלת השרון,89%
פלצת–אסכרה-שעלת-Tdap,העוגן,90%
פלצת–אסכרה-שעלת-Tdap,אל-רום,85%
פלצת–אסכרה-שעלת-Tdap,אירוס,96%
פלצת–אסכרה-שעלת-Tdap,אביעזר,100%
פלצת–אסכרה-שעלת-Tdap,תל תאומים,94%
פלצת–אסכרה-שעלת-Tdap,שרשרת,100%
פלצת–אסכרה-שעלת-Tdap,שדמות דבורה,91%
פלצת–אסכרה-שעלת-Tdap,שדה צבי,94%
פלצת–אסכרה-שעלת-Tdap,צורית,100%
פלצת–אסכרה-שעלת-Tdap,ניצני סיני,81%
פלצת–אסכרה-שעלת-Tdap,מכמנים,87%
פלצת–אסכרה-שעלת-Tdap,כפר ורבורג,100%
פלצת–אסכרה-שעלת-Tdap,"כפר הרי""ף",94%
פלצת–אסכרה-שעלת-Tdap,יקום,80%
פלצת–אסכרה-שעלת-Tdap,חצור-אשדוד,100%
פלצת–אסכרה-שעלת-Tdap,חלוץ,100%
פלצת–אסכרה-שעלת-Tdap,ח'רבתא אל-מצבאח,50%
פלצת–אסכרה-שעלת-Tdap,האון,22%
פלצת–אסכרה-שעלת-Tdap,דבירה,100%
פלצת–אסכרה-שעלת-Tdap,"גבעת ח""ן",100%
פלצת–אסכרה-שעלת-Tdap,גבעות בר,100%
פלצת–אסכרה-שעלת-Tdap,בני דרור,100%
פלצת–אסכרה-שעלת-Tdap,אורים,90%
פלצת–אסכרה-שעלת-Tdap,אום אל-קוטוף,100%
פלצת–אסכרה-שעלת-Tdap,אדמית,92%
פלצת–אסכרה-שעלת-Tdap,תרקומיא,33%
פלצת–אסכרה-שעלת-Tdap,תירוש,91%
פלצת–אסכרה-שעלת-Tdap,שושנת העמקים,91%
פלצת–אסכרה-שעלת-Tdap,שדה נחום,86%
פלצת–אסכרה-שעלת-Tdap,שדה דוד,85%
פלצת–אסכרה-שעלת-Tdap,רגבים,94%
פלצת–אסכרה-שעלת-Tdap,רגבה,93%
פלצת–אסכרה-שעלת-Tdap,פארן,100%
פלצת–אסכרה-שעלת-Tdap,עמיעד,100%
פלצת–אסכרה-שעלת-Tdap,עידן,90%
פלצת–אסכרה-שעלת-Tdap,ניר דוד (תל עמל),77%
פלצת–אסכרה-שעלת-Tdap,נווה מבטח,86%
פלצת–אסכרה-שעלת-Tdap,מצפה אילן,96%
פלצת–אסכרה-שעלת-Tdap,לוחמי הגיטאות,96%
פלצת–אסכרה-שעלת-Tdap,לביא,100%
פלצת–אסכרה-שעלת-Tdap,כנרת (קבוצה),89%
פלצת–אסכרה-שעלת-Tdap,כנף,89%
פלצת–אסכרה-שעלת-Tdap,כורזים,100%
פלצת–אסכרה-שעלת-Tdap,חצבה,100%
פלצת–אסכרה-שעלת-Tdap,חמדיה,92%
פלצת–אסכרה-שעלת-Tdap,דגניה ב',90%
פלצת–אסכרה-שעלת-Tdap,געתון,100%
פלצת–אסכרה-שעלת-Tdap,גזר,100%
פלצת–אסכרה-שעלת-Tdap,"גבעת ניל""י",100%
